,eventid,country,region,provstate,doubtterr,alternative,success,suicide,attacktype1,targtype1,corp1,natlty1,targtype2,gname,nperps,nperpcap,claimed,claimmode,weaptype1,nkillus,nkillter,nwound,nwoundte,property,propextent,ishostkid,nhostkid,ransom,ransomamt,ransompaid,hostkidoutcome,nreleased
0,201701090031,95,10,0,0.0,,1,0,3,14,0,95.0,,0,-99.0,0.0,0,,6,0.0,0.0,0.0,0.0,0,,0.0,,,,,,
1,201702210037,4,6,1,0.0,,1,0,9,3,1,4.0,,0,-99.0,0.0,0,,13,0.0,10.0,15.0,10.0,-9,,0.0,,,,,,
2,201703120023,1004,11,2,0.0,,1,0,7,4,2,1004.0,14.0,0,-99.0,0.0,0,,8,0.0,0.0,56.0,0.0,1,3.0,0.0,,,,,,
3,201705050009,1004,11,3,0.0,,1,0,2,19,3,1004.0,,0,-99.0,0.0,0,,5,0.0,0.0,8.0,0.0,1,3.0,0.0,,,,,,
4,201705050010,1004,11,3,0.0,,1,0,2,19,3,1004.0,,0,-99.0,0.0,0,,5,0.0,0.0,7.0,0.0,1,3.0,0.0,,,,,,
5,201707010028,41,11,4,0.0,,1,0,9,14,4,41.0,,0,-99.0,0.0,0,,13,0.0,,0.0,0.0,0,,0.0,,,,,,
6,201707020006,200,10,5,0.0,,1,1,3,4,5,200.0,14.0,0,1.0,0.0,0,,6,0.0,1.0,12.0,0.0,1,3.0,0.0,,,,,,
7,201708110018,4,6,6,0.0,,1,0,3,14,0,4.0,,0,-99.0,0.0,0,,6,0.0,0.0,3.0,0.0,1,3.0,0.0,,,,,,
8,201711010006,4,6,7,0.0,,1,0,3,19,3,4.0,14.0,0,-99.0,0.0,0,,6,0.0,0.0,27.0,0.0,1,4.0,0.0,,,,,,
9,201712010003,95,10,8,0.0,,1,0,3,14,0,95.0,,0,-99.0,0.0,0,,6,0.0,0.0,0.0,0.0,1,3.0,0.0,,,,,,
